"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"10/29/2019","37","NO2","Elizabeth Lab","34-039-0004","AQS","9","31",".","30","37"
"10/30/2019","45","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","31","10","45","34"
"10/31/2019","44","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","35",".","44","31"
"11/01/2019","31","PM2.5","Elizabeth Lab","34-039-0004","AQS","3","31",".","31","22"
"11/02/2019","40","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","29","7","40","31"
"11/03/2019","41","PM2.5","Flemington","34-019-0001","AQS","7","31",".","41","32"
"11/04/2019","64","NO2","Jersey City","34-017-1002","AQS","10","31",".","48","64"
"11/05/2019","61","NO2","Jersey City","34-017-1002","AQS","10","30","19","46","61"
"11/06/2019","45","NO2","Jersey City","34-017-1002","AQS","7","33",".","44","45"
"11/07/2019","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","31",".","56","43"
"11/08/2019","30","NO2","Fort Lee Near Road","34-003-0010","AQS","3","27",".","22","30"
"11/09/2019","36","NO2","Jersey City","34-017-1002","AQS","7","25",".","35","36"
"11/10/2019","66","PM2.5","Newark Firehouse","34-013-0003","AQS","13","31",".","66","42"
"11/11/2019","87","PM2.5","Newark Firehouse","34-013-0003","AQS","15","37","31","87","52"
"11/12/2019","40","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","33",".","40","33"
"11/13/2019","35","Ozone","MT NINHAM","36-079-0005","AQS","5","35",".","23","34"
"11/14/2019","55","NO2","Bayonne","34-017-0006","AQS","14","28",".","49","55"
"11/15/2019","62","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","31",".","62","46"
"11/16/2019","33","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","33",".","33","25"
"11/17/2019","36","NO2","Queens College Near Road","36-081-0125","AQS","3","31","10","25","36"
"11/18/2019","38","PM2.5","Newark Firehouse","34-013-0003","AQS","6","29",".","38","33"
"11/19/2019","45","PM2.5","Newark Firehouse","34-013-0003","AQS","6","28",".","45","30"
"11/20/2019","43","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","31",".","43","26"
"11/21/2019","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","11","33",".","52","42"
"11/22/2019","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","27",".","52","36"
"11/23/2019","36","PM2.5","Jersey City Firehouse","34-017-1003","AQS","13","32","9","36","35"
"11/24/2019","34","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","30",".","34","34"
"11/25/2019","71","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","26",".","71","42"
"11/26/2019","92","PM2.5","Jersey City Firehouse","34-017-1003","AQS","11","32","19","92","63"
"11/27/2019","73","PM2.5","Jersey City Firehouse","34-017-1003","AQS","22","32",".","73","70"
"11/28/2019","30","Ozone","MT NINHAM","36-079-0005","AQS","5","30",".","23","9"
"11/29/2019","29","Ozone","MT NINHAM","36-079-0005","AQS","3","29","5","18","21"
"11/30/2019","38","NO2","Elizabeth Lab","34-039-0004","AQS","6","34","5","28","38"
"12/01/2019","37","PM2.5","Rutgers University","34-023-0011","AQS","6","31",".","37","35"
"12/02/2019","36","NO2","Queens College Near Road","36-081-0125","AQS","5","33","6","21","36"
"12/03/2019","41","NO2","Fort Lee Near Road","34-003-0010","AQS","6","36",".","32","41"
"12/04/2019","57","PM2.5","IS 52","36-005-0110","AQS","8","26",".","57","36"
"12/05/2019","36","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","31","11","36","31"
"12/06/2019","44","NO2","Fort Lee Near Road","34-003-0010","AQS","13","29",".","38","44"
"12/07/2019","35","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","5","31",".","35","32"
"12/08/2019","42","NO2","Elizabeth Lab","34-039-0004","AQS","13","30","9","38","42"
"12/09/2019","51","NO2","Elizabeth Lab","34-039-0004","AQS","15","28",".","43","51"
"12/10/2019","48","PM2.5","Newark Firehouse","34-013-0003","AQS","10","26",".","48","25"
"12/11/2019","33","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","28","13","33","30"
"12/12/2019","51","PM2.5","PS 274","36-047-0118","AQS","10","29",".","51","46"
"12/13/2019","65","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","30",".","65","60"
"12/14/2019","40","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","9","30","4","30","40"
"12/15/2019","37","PM2.5","Intermediate School 143","36-061-0115","AQS","5","28",".","37","19"
"12/16/2019","74","PM2.5","Toms River","34-029-2002","AQS","7","28",".","74","42"
"12/17/2019","50","PM2.5","Rutgers University","34-023-0011","AQS","8","31","7","50","42"
"12/18/2019","39","NO2","Bayonne","34-017-0006","AQS","5","33",".","35","39"
"12/19/2019","58","PM2.5","PS 274","36-047-0118","AQS","5","31",".","58","23"
"12/20/2019","45","PM2.5","PS 274","36-047-0118","AQS","7","32","14","45","36"
"12/21/2019","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","24",".","58","44"
"12/22/2019","95","PM2.5","IS 52","36-005-0110","AQS","13","24",".","95","42"
"12/23/2019","85","PM2.5","Elizabeth Lab","34-039-0004","AQS","15","31","40","85","48"
"12/24/2019","65","PM2.5","Flemington","34-019-0001","AQS","10","31",".","65","42"
"12/25/2019","61","PM2.5","Flemington","34-019-0001","AQS","15","30",".","61","45"
"12/26/2019","79","PM2.5","Flemington","34-019-0001","AQS","19","26","29","79","47"
"12/27/2019","58","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","28",".","58","47"
"12/28/2019","64","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","26",".","64","32"
"12/29/2019","62","PM2.5","Flemington","34-019-0001","AQS","13","27","19","62","39"
"12/30/2019","39","NO2","Elizabeth Lab","34-039-0004","AQS","6","31",".","21","39"
"12/31/2019","35","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","28",".","35","32"
